x,y,width,height,frame,max_w,max_h,label,image
37,113,133,151,1,960,540,27,Zoidberg_frame_00001.jpg
605,61,111,97,1,960,540,1,Amy_frame_00001.jpg
728,111,122,125,1,960,540,12,Hermes_frame_00001.jpg
214,232,146,194,1,960,540,15,Leela_frame_00001.jpg
313,216,150,130,1,960,540,2,Bender_frame_00001.jpg
392,339,280,201,1,960,540,19,PhillipFry_frame_00001.jpg
512,261,238,137,1,960,540,9,Farnsworth_frame_00001.jpg
235,99,109,100,1,960,540,26,Zapp_frame_00001.jpg
278,122,216,78,1,960,540,14,Kif_frame_00001.jpg
326,179,210,79,1,960,540,17,Morbo_frame_00001.jpg
223,175,172,74,1,960,540,16,Lrr_frame_00001.jpg
122,235,184,132,1,960,540,13,HypnoPigeon_frame_00001.jpg
30,110,143,156,2,960,540,27,Zoidberg_frame_00002.jpg
592,63,129,103,2,960,540,1,Amy_frame_00002.jpg
732,128,115,108,2,960,540,12,Hermes_frame_00002.jpg
196,247,155,170,2,960,540,15,Leela_frame_00002.jpg
312,229,147,120,2,960,540,2,Bender_frame_00002.jpg
397,338,277,202,2,960,540,19,PhillipFry_frame_00002.jpg
497,230,266,181,2,960,540,9,Farnsworth_frame_00002.jpg
233,106,120,95,2,960,540,26,Zapp_frame_00002.jpg
279,131,214,69,2,960,540,14,Kif_frame_00002.jpg
312,169,230,104,2,960,540,17,Morbo_frame_00002.jpg
217,184,186,64,2,960,540,16,Lrr_frame_00002.jpg
128,236,174,122,2,960,540,13,HypnoPigeon_frame_00002.jpg
29,107,135,165,3,960,540,27,Zoidberg_frame_00003.jpg
595,48,123,127,3,960,540,1,Amy_frame_00003.jpg
724,133,126,105,3,960,540,12,Hermes_frame_00003.jpg
203,240,154,189,3,960,540,15,Leela_frame_00003.jpg
321,226,135,112,3,960,540,2,Bender_frame_00003.jpg
411,360,263,180,3,960,540,19,PhillipFry_frame_00003.jpg
496,257,262,150,3,960,540,9,Farnsworth_frame_00003.jpg
238,103,98,86,3,960,540,26,Zapp_frame_00003.jpg
274,127,214,81,3,960,540,14,Kif_frame_00003.jpg
362,179,178,102,3,960,540,17,Morbo_frame_00003.jpg
242,182,160,65,3,960,540,16,Lrr_frame_00003.jpg
123,237,196,128,3,960,540,13,HypnoPigeon_frame_00003.jpg
19,116,159,146,4,960,540,27,Zoidberg_frame_00004.jpg
594,57,127,111,4,960,540,1,Amy_frame_00004.jpg
732,127,100,112,4,960,540,12,Hermes_frame_00004.jpg
218,243,137,177,4,960,540,15,Leela_frame_00004.jpg
312,226,146,119,4,960,540,2,Bender_frame_00004.jpg
425,349,252,191,4,960,540,19,PhillipFry_frame_00004.jpg
496,259,256,144,4,960,540,9,Farnsworth_frame_00004.jpg
235,107,109,86,4,960,540,26,Zapp_frame_00004.jpg
277,127,213,76,4,960,540,14,Kif_frame_00004.jpg
320,169,223,94,4,960,540,17,Morbo_frame_00004.jpg
249,181,160,67,4,960,540,16,Lrr_frame_00004.jpg
125,240,146,121,4,960,540,13,HypnoPigeon_frame_00004.jpg
36,116,123,144,5,960,540,27,Zoidberg_frame_00005.jpg
602,60,119,104,5,960,540,1,Amy_frame_00005.jpg
732,125,97,111,5,960,540,12,Hermes_frame_00005.jpg
227,261,120,162,5,960,540,15,Leela_frame_00005.jpg
323,224,131,112,5,960,540,2,Bender_frame_00005.jpg
418,346,256,194,5,960,540,19,PhillipFry_frame_00005.jpg
514,261,233,141,5,960,540,9,Farnsworth_frame_00005.jpg
237,105,109,89,5,960,540,26,Zapp_frame_00005.jpg
267,125,224,72,5,960,540,14,Kif_frame_00005.jpg
378,177,170,86,5,960,540,17,Morbo_frame_00005.jpg
