AE_0,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,Labels
0.0481596459465106,0.014864564410815,0.094165025590726,0.0028206026465994,0.0029101116724191,0.0054255080524972,0.0113142266849608,0.0164022296653598,0.0094639276399045,0.0874288322340874,7
0.0152764697852372,0.6493911788953526,0.2192485619146566,0.0363702999796351,0.0291314755042705,0.9668980545564788,0.0834065458717513,0.8811890184241401,0.0045449542191295,0.0131723648146845,6
0.8976722087326671,0.0710243973098256,0.5470171100788671,0.0256269978542878,0.215880555254136,0.3875382790313914,0.1247892969939909,0.0112485964132233,0.5798351797332348,0.4335045678142393,10
0.3287082597544391,0.2567907373392031,0.0286402700528953,0.9327508654473337,0.7793397319371237,0.0214970610576329,0.0072754008417211,0.9551957681048496,0.0046905842690106,0.0213862054238277,11
0.0119555924209416,0.0750468463235866,0.967579633014852,0.7038445966107582,0.1364868161934851,0.0233510592821532,0.9965435086248448,0.0862182567849553,0.1374372870460901,0.0047787700268553,13
0.0015717809958641,0.0925192025602276,0.0024791293980228,0.0058642356610725,0.0414994607332745,0.0118494220689589,0.3276119898904984,0.0204067274726576,0.938608271407912,0.0222942510210598,5
0.9702964472926984,0.0004315377650586,0.3471443096756051,0.5197907060786069,0.0003383324333067,0.0558944112241718,0.2169709285402706,0.0001346965214756,0.9218422745961974,0.9001020984669738,2
0.2294520867302289,0.0051332240880433,0.0211947636235929,0.0535132422149112,0.0902564534368143,0.0315179624082623,0.0395566357223578,0.3587157407642365,0.0072435828529085,0.0153852858203976,4
0.0399224716842124,0.0756614880350343,0.0184029566342645,0.0265802975969303,0.0128483493296982,0.0022871941845961,0.0038698815264148,0.0526847485376624,0.4704931250945474,0.0253898487012855,3
0.0094367064449114,0.6758654479784099,0.2556924028823099,0.0091679585540748,0.0249021551938428,0.9804122205651696,0.0659494970986542,0.8489021980449762,0.0093778254009533,0.041544649182762,6
0.3526444624348121,0.393364758684354,0.0156673349911169,0.9324425669584452,0.9554819597397918,0.0476201104905541,0.0033089153393845,0.8967853935491167,0.0055593013207122,0.0917018980566039,11
0.0147376277446394,0.0275581221369038,0.9735716805590996,0.679968238365041,0.1318277771035979,0.0367901476325196,0.9990707961479052,0.037578488951548,0.3336509512273243,0.0059560963797695,13
0.0016124445589258,0.0385623096954694,0.0010563605292156,0.0052013933127445,0.1494984160559304,0.040487173061166,0.389675259938516,0.0027919472245135,0.7846287775926296,0.0429321620557866,5
0.8727640565309972,0.0026284051951304,0.4009688307235649,0.1493255742344369,0.0055496310999332,0.5836305894282757,0.9236720456145658,0.0007510022647949,0.8837645968351957,0.692800797355173,2
0.2921110908974691,0.035872001967733,0.1077057110388686,0.0988217590120869,0.0457723811187389,0.0097232485672038,0.2544906470264411,0.208517500432699,0.0047991997093426,0.0208526908622063,4
0.3372287434672725,0.0374990418785857,0.3294781969582506,0.0637381818281042,0.002696180617306,0.0091639472858748,0.0007611022907989,0.1838309155024235,0.8483894426753873,0.0102579430773689,3
0.0384216661477832,0.0240477776108454,0.0059011750361421,0.0262720005228233,0.007262264672374,0.0003716556001121,0.0615876473912973,0.568633762432377,0.0033165998806682,0.2970522032702453,7
0.8522223910484625,0.127585073116096,0.4326991133780503,0.0778267451089826,0.1926828709414697,0.9295656686203856,0.1422849282869344,0.0249002151293546,0.4519095154736227,0.2427371787975775,10
0.0150640320366067,0.5843943270518386,0.2881923463027764,0.1732183585773126,0.01453400774538,0.9776319761478164,0.0276692830460205,0.8873784947772528,0.0166720871429751,0.0255634656001385,6
0.1656580385249062,0.3594114337235577,0.017428289275117,0.9545311543475752,0.9767096381778252,0.0407658383960603,0.0096243889000056,0.8309944100253295,0.0121732793787594,0.1641310999350155,11
0.004756099157352,0.0234567947317247,0.9806653832425948,0.6446336835375058,0.1789057590169696,0.1108486394107509,0.9983304981051038,0.0219742319809628,0.1898254058806239,0.0053884990883925,13
0.0009824508826174,0.072528948382184,0.0116515461088531,0.0020638953715662,0.0347693631497585,0.0780901634603268,0.3400389135562645,0.0152697711408544,0.9702383501308024,0.0127466970836394,5
0.9011128537926916,0.0010000578372864,0.7545622976749781,0.0024717249348904,0.0045207545421088,0.0099673192754404,0.4793485125142619,0.0341563390791913,0.3347907130116231,0.9827382713317496,2
0.1140610984197837,0.026983857080403,0.0452586208712947,0.0674050369673303,0.0697720634955179,0.0135387893377433,0.1159155028128565,0.2728492628226611,0.0092843925881215,0.0113959477191383,4
0.142891951591952,0.1112093303728866,0.2726988448167272,0.0073592893658374,0.0043112009925033,0.0100489130012174,0.0030400040716354,0.1456668877520115,0.621478473362848,0.0071637608193675,3
0.9134956774303278,0.1297943334520867,0.3177905127998803,0.0728452741886133,0.1993082971161675,0.8686943999920983,0.1037987436327959,0.011254916912431,0.5146352791413866,0.3337459232297166,10
0.7462469645432508,0.1001617017944556,0.8082028168427965,0.0076695503050744,0.0126543351726286,0.5306391277025783,0.0309317858604733,0.2643028177133895,0.0222666637872338,0.0141727810406501,7
0.3426514934621558,0.4299851379520125,0.0425039396267305,0.8955227405125745,0.9631461346175132,0.0398887303183724,0.0070944102995845,0.8411963208637913,0.0067789629146192,0.0524206730380843,11
